date,volume,turnover,open,open,high,lable,low,close
2023/2/8 10:10,4006,59368920,732336,14835,14845,14825,14825,14840
2023/2/8 10:31,6854,101576280,731738,14845,14865,14840,14840,14860
2023/2/8 10:40,8336,123539520,731941,14860,14875,14845,14845,14850
2023/2/8 10:50,5699,85973630,732405,14850,14855,14830,14830,14835
2023/2/8 11:00,9003,132082190,733450,14835,14835,14795,14795,14800
2023/2/8 11:10,10420,154424400,733873,14800,14810,14780,14780,14795
2023/2/8 11:20,15084,223544880,734326,14795,14810,14765,14765,14775
2023/2/8 13:30,8148,120753360,735082,14770,14790,14760,14760,14775
2023/2/8 13:40,9071,132724185,735691,14775,14795,14755,14755,14785
2023/2/8 13:50,5644,83615860,736183,14785,14790,14765,14765,14785
2023/2/8 14:00,8759,129764585,737162,14785,14795,14765,14765,14775
2023/2/8 14:10,6083,90119645,737646,14775,14785,14765,14765,14765
2023/2/8 14:20,15436,228684340,737428,14765,14780,14735,14735,14780
2023/2/8 14:30,6157,89232480,737208,14775,14790,14765,14765,14770
2023/2/8 14:40,5584,82699040,737091,14770,14775,14760,14760,14765
2023/2/8 14:50,11151,165146310,733247,14765,14780,14760,14760,14780
2023/2/8 20:55,4489,66437200,732307,14780,14800,14780,14780,14800
2023/2/8 21:00,31143,460025600,733207,14800,14810,14730,14730,14755
2023/2/8 21:10,14141,208684410,733843,14755,14785,14750,14750,14760
2023/2/8 21:20,10498,155356815,734232,14755,14800,14750,14750,14790
2023/2/8 21:30,6834,100972350,734097,14790,14790,14770,14770,14775
2023/2/8 21:40,4857,71762175,733308,14775,14775,14755,14755,14760
2023/2/8 21:50,4019,59380725,733132,14760,14780,14760,14760,14775
2023/2/8 22:00,17649,261232125,732996,14775,14830,14775,14775,14825
2023/2/8 22:10,17553,259989255,732942,14825,14850,14810,14810,14830
2023/2/8 22:20,9407,139685445,733610,14830,14845,14820,14820,14840
2023/2/8 22:30,10661,158332445,733620,14845,14845,14815,14815,14815
2023/2/8 22:40,13815,204392925,732279,14815,14820,14775,14775,14785
2023/2/8 22:50,8541,126364095,731361,14785,14795,14775,14775,14775
2023/2/9 9:00,15803,233805385,731463,14795,14835,14785,14785,14820
2023/2/9 9:10,6976,103209920,731280,14825,14835,14805,14805,14825
2023/2/9 9:20,5129,75883555,731191,14825,14830,14805,14805,14825
2023/2/9 9:30,6985,103343075,732202,14825,14840,14825,14825,14830
2023/2/9 9:40,6671,99673300,732526,14830,14845,14820,14820,14830
2023/2/9 9:50,6218,92026400,732396,14830,14850,14830,14830,14845
2023/2/9 10:00,9229,136589200,732400,14845,14860,14830,14830,14850
2023/2/9 10:10,3614,54558360,732375,14845,14855,14840,14840,14850
2023/2/9 10:31,8058,119298690,732795,14850,14850,14810,14810,14825
2023/2/9 10:40,9174,135821070,732854,14825,14830,14785,14785,14795
2023/2/9 10:50,7199,106581195,733708,14795,14805,14780,14780,14800
2023/2/9 11:00,4589,67940145,734089,14800,14815,14800,14800,14805
2023/2/9 11:10,11425,167873740,732818,14805,14805,14770,14770,14785
2023/2/9 11:20,4860,71928000,732791,14785,14805,14780,14780,14795
2023/2/9 13:30,11664,173983205,732545,14810,14825,14805,14805,14820
2023/2/9 13:40,5545,82093725,732758,14820,14830,14810,14810,14820
2023/2/9 13:50,7703,114042915,733433,14820,14825,14800,14800,14800
2023/2/9 14:00,7275,107706375,733284,14800,14815,14800,14800,14805
2023/2/9 14:10,4161,61603605,732840,14800,14825,14800,14800,14815
2023/2/9 14:20,3334,49359870,732985,14820,14825,14810,14810,14815
2023/2/9 14:30,9274,137301570,734016,14815,14845,14815,14815,14835
2023/2/9 14:40,5143,76142115,734025,14835,14845,14825,14825,14835
2023/2/9 14:50,12317,182353185,732494,14840,14850,14820,14820,14830
2023/2/9 20:55,1893,28082655,732392,14830,14835,14830,14830,14835
2023/2/9 21:00,36575,541051405,735303,14840,14840,14750,14750,14785
2023/2/9 21:10,16716,247313220,736974,14785,14810,14780,14780,14800
2023/2/9 21:20,11619,171903105,736318,14800,14825,14780,14780,14825
2023/2/9 21:30,23431,348015155,737794,14820,14860,14820,14820,14845
2023/2/9 21:40,10724,158822440,738881,14845,14850,14820,14820,14845
2023/2/9 21:50,7675,114209915,738817,14845,14855,14825,14825,14830
2023/2/9 22:00,11713,173528095,737336,14835,14835,14800,14800,14800
2023/2/9 22:10,11911,175800180,737879,14805,14810,14785,14785,14805
2023/2/9 22:20,4588,67948280,737847,14800,14815,14800,14800,14805
2023/2/9 22:30,18515,274207150,738497,14800,14810,14760,14760,14765
2023/2/9 22:40,10709,157769945,739430,14770,14780,14760,14760,14770
2023/2/9 22:50,8368,123888240,738640,14770,14790,14755,14755,14760
2023/2/10 9:00,101903,1493475215,728648,14750,14775,14580,14580,14670
2023/2/10 9:10,38341,562701770,729071,14675,14695,14595,14595,14600
2023/2/10 9:20,29260,428926675,728811,14600,14615,14570,14570,14595
2023/2/10 9:30,24535,359286670,730860,14590,14610,14565,14565,14585
2023/2/10 9:40,13829,202668265,731480,14585,14590,14560,14560,14580
2023/2/10 9:50,18519,270410370,729946,14580,14590,14545,14545,14560
